,age,workclass,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,Income
35,21,2,5,10,0,9,3,0,0,0,0,40,0
36,19,2,1,9,5,0,2,0,1,0,0,25,0
37,31,2,5,10,1,5,1,0,0,0,0,38,1
38,48,1,6,12,1,3,1,0,0,0,0,40,0
39,31,2,4,5,1,9,1,0,0,0,0,43,0
40,53,1,0,13,1,3,1,0,0,0,0,40,0
41,24,2,0,13,1,10,1,0,0,0,0,50,0
42,49,2,1,9,4,0,4,0,1,0,0,40,0
43,25,2,1,9,0,2,0,0,0,0,0,35,0
44,57,3,0,13,1,3,1,1,0,0,0,40,1
45,53,2,1,9,1,9,1,0,0,0,0,38,0
46,44,2,3,14,2,1,4,0,1,0,0,40,0
47,41,0,7,11,1,6,1,0,0,0,0,40,0
48,29,2,7,11,0,3,0,0,0,0,0,43,0
49,25,2,5,10,1,1,2,4,1,0,0,40,0
50,18,2,1,9,0,4,3,0,1,0,0,30,0
51,47,2,10,15,1,3,2,0,1,0,1902,60,1
52,50,3,0,13,2,1,0,0,0,0,0,55,1
53,47,5,1,9,2,1,0,0,0,0,0,60,0
54,43,2,5,10,1,10,1,0,0,0,0,40,1
55,46,2,11,3,1,9,1,0,0,0,0,40,0
56,35,2,7,11,1,4,1,0,0,0,0,40,0
57,41,2,1,9,1,0,1,0,0,0,0,48,0
58,30,2,1,9,1,9,1,0,0,5013,0,40,0
59,30,2,0,13,1,5,1,0,0,2407,0,40,0
60,48,2,1,9,1,7,1,0,0,0,0,40,0
61,42,2,9,16,1,3,1,0,0,0,0,45,1
62,29,2,5,10,2,10,0,0,0,0,0,58,0
63,36,2,1,9,1,6,1,0,0,0,0,40,0
64,28,2,5,10,2,0,0,0,1,0,0,40,0
65,53,2,1,9,1,0,2,0,1,0,0,40,1
66,49,5,5,10,1,1,1,0,0,0,0,50,1
67,19,2,5,10,0,3,3,0,0,0,0,32,0
68,31,2,0,13,4,5,3,1,1,0,0,40,0
69,29,1,0,13,1,5,1,0,0,0,0,70,1
70,23,2,5,10,0,9,0,0,0,0,0,40,0
71,79,2,5,10,1,3,5,0,0,0,0,20,0
72,27,2,1,9,0,4,3,0,0,0,0,40,0
73,40,2,6,12,1,0,1,0,0,0,0,40,0
74,18,2,2,7,0,4,3,0,1,0,0,22,0
75,31,4,8,4,1,8,1,0,0,0,0,40,0
76,18,2,1,9,0,5,0,0,0,0,0,30,0
77,52,2,0,13,1,4,1,0,0,0,0,40,0
78,46,2,1,9,1,4,2,0,1,0,0,40,0
79,59,2,1,9,1,5,1,0,0,0,0,48,0
80,44,2,1,9,2,6,0,0,1,14344,0,40,1
81,53,2,1,9,2,5,3,0,1,0,0,35,0
82,49,4,1,9,1,11,1,0,0,0,0,40,1
83,33,2,3,14,1,3,1,0,0,0,0,50,0
84,30,2,4,5,0,5,0,0,0,0,0,40,0
85,43,3,9,16,0,3,0,0,1,0,0,50,1
86,57,2,7,11,1,3,1,0,0,0,0,40,0
87,37,2,5,10,2,6,4,0,1,0,0,40,0
88,28,2,5,10,2,9,4,1,1,0,0,25,0
89,30,2,1,9,1,5,2,2,1,0,1573,35,0
90,34,4,0,13,1,11,1,0,0,0,0,40,1
91,29,4,5,10,0,2,0,0,0,0,0,50,0
92,48,1,9,16,1,3,1,0,0,0,1902,60,1
93,37,2,5,10,1,5,1,0,0,0,0,48,1
94,48,2,6,12,2,1,4,0,1,0,0,40,0
95,32,3,1,9,0,4,3,1,0,0,0,40,0
96,76,2,3,14,1,1,1,0,0,0,0,40,1
97,44,2,0,13,1,1,1,0,0,15024,0,60,1
98,47,1,3,14,0,3,0,0,1,0,0,50,0
99,20,2,5,10,0,10,3,0,1,0,0,40,0
100,29,2,1,9,0,6,0,0,0,0,0,40,0
101,32,5,1,9,1,6,1,0,0,7688,0,40,1
102,30,2,2,7,0,2,3,0,0,0,0,40,0
103,31,4,1,9,0,0,0,0,1,0,0,40,0
104,42,2,1,9,1,2,1,0,0,0,0,40,0
105,24,2,0,13,0,5,5,0,0,0,0,40,0
106,38,2,10,15,1,3,1,0,0,0,0,40,1
107,56,1,1,9,1,4,1,0,0,0,1887,50,1
108,28,2,5,10,1,5,2,0,1,4064,0,25,0
109,36,2,1,9,0,9,3,0,1,0,0,40,0
110,53,2,4,5,1,2,1,0,0,0,0,50,0
111,56,5,5,10,1,5,1,0,0,0,0,50,0
112,49,4,7,11,1,6,1,1,0,0,0,40,1
113,55,2,5,10,1,5,1,0,0,0,0,56,0
114,22,2,1,9,0,6,0,0,0,0,0,41,0
115,21,2,5,10,0,4,3,0,1,0,0,40,0
116,40,2,0,13,1,1,1,0,0,0,0,60,0
117,30,2,0,13,0,1,3,1,0,0,0,40,0
118,29,0,0,13,1,3,1,0,0,0,0,50,1
119,19,2,5,10,0,4,3,1,0,0,0,35,0
120,47,2,0,13,1,1,2,0,1,0,0,40,1
121,20,2,5,10,0,0,3,0,1,0,1719,28,0
122,31,2,6,12,1,0,1,0,0,0,0,40,1
123,39,2,5,10,2,6,0,0,0,0,0,40,0
124,28,2,6,12,0,5,0,0,1,0,0,60,0
125,24,2,1,9,0,4,0,0,1,0,1762,40,0
126,38,1,1,9,1,6,1,0,0,4386,0,35,0
127,37,2,0,13,1,5,1,0,0,0,0,50,0
128,46,2,6,12,2,10,0,1,1,0,0,36,0
129,38,3,3,14,1,3,1,0,0,0,0,40,1
130,43,1,1,9,1,6,1,0,0,0,0,60,0
131,27,2,7,11,1,0,2,0,1,0,0,35,0
132,20,2,5,10,0,5,3,0,0,0,0,20,0
133,49,2,5,10,1,6,1,2,0,0,0,40,1
134,61,5,1,9,1,6,1,0,0,0,0,40,0
135,27,2,5,10,0,5,3,0,1,0,0,40,0
136,19,2,5,10,0,4,3,0,0,0,0,30,0
137,45,2,7,11,0,3,0,0,1,0,1564,40,1
138,70,2,5,10,0,10,5,0,0,0,0,40,0
139,31,2,1,9,0,7,4,1,1,0,0,30,0
140,22,2,5,10,1,4,1,0,0,0,0,24,0
141,36,2,1,9,6,4,4,0,1,0,0,24,0
142,64,2,2,7,1,6,1,0,0,0,2179,40,0
143,47,4,5,10,2,0,4,0,1,0,0,38,0
144,34,2,1,9,0,0,0,0,1,0,0,40,0
145,33,2,0,13,0,1,5,2,1,0,0,40,0
146,21,2,1,9,0,6,3,0,0,0,0,35,0
147,48,2,1,9,1,6,1,0,0,0,0,46,0
148,23,2,0,13,0,2,0,0,0,0,0,40,0
149,71,1,5,10,4,5,4,1,0,0,1816,2,0
150,29,2,1,9,2,6,0,0,0,0,0,60,0
151,42,2,0,13,4,4,5,1,0,0,0,50,0
152,25,2,1,9,0,4,4,0,1,0,0,40,0
153,44,5,3,14,2,1,4,2,1,0,0,40,0
154,28,2,1,9,0,1,0,2,1,0,0,40,0
155,45,1,3,14,1,5,1,0,0,0,0,40,1
156,36,2,5,10,2,4,4,0,1,0,0,40,0
157,39,3,6,12,0,1,0,0,0,0,0,42,0
158,46,0,3,14,6,11,4,0,0,0,0,40,0
159,18,2,2,7,0,2,3,0,0,0,0,16,0
160,66,4,7,11,6,3,0,0,1,0,0,20,0
161,27,2,1,9,0,4,0,0,0,0,1980,40,0
162,28,0,1,9,1,11,1,0,0,0,0,40,0
163,51,2,5,10,1,5,1,0,0,0,1977,40,1
164,27,2,0,13,0,6,0,0,0,0,0,50,0
165,28,0,0,13,1,3,1,0,0,0,0,40,1
166,27,2,1,9,3,5,4,0,1,0,0,25,0
167,21,2,1,9,0,6,3,1,0,0,0,40,0
168,34,2,1,9,0,2,0,1,0,0,0,40,0
169,18,2,1,9,0,4,3,0,0,0,0,12,0
170,33,2,0,13,1,3,1,0,0,0,0,65,0
171,44,4,5,10,1,1,1,1,0,0,0,38,1
172,43,2,5,10,2,0,0,0,1,0,0,40,0
173,30,2,5,10,0,6,0,1,0,0,0,45,0
174,40,2,8,4,1,9,1,0,0,0,0,40,1
175,37,3,5,10,1,0,1,0,0,0,0,42,1
176,34,2,1,9,1,0,1,1,0,0,0,40,0
177,41,1,0,13,2,1,0,0,1,0,0,40,0
178,31,2,3,14,1,3,2,0,1,0,0,50,0
179,58,0,9,16,1,3,1,0,0,0,0,1,1
180,38,2,5,10,2,9,0,1,1,0,0,28,0
181,24,2,5,10,1,9,1,0,0,0,0,40,0
182,41,4,0,13,1,6,1,1,0,0,0,40,0
183,47,2,5,10,1,10,1,0,0,0,0,45,0
184,41,3,0,13,1,10,1,0,0,0,0,24,0
185,23,2,11,3,1,7,5,0,0,0,0,40,0
186,36,2,5,10,2,6,0,0,0,0,0,40,0
187,40,3,3,14,0,1,0,0,1,14084,0,55,1
188,35,2,3,14,1,3,5,0,0,7298,0,40,1
189,24,1,1,9,0,5,0,0,0,0,0,40,0
190,26,2,3,14,0,3,0,0,1,0,1876,40,0
191,51,2,0,13,1,1,1,0,0,0,0,50,1
192,42,4,5,10,0,3,0,0,1,0,1340,40,0
193,37,0,1,9,2,0,4,0,1,0,0,35,0
194,18,2,2,7,0,5,3,0,1,0,0,40,0
195,36,2,0,13,1,4,1,1,0,7298,0,36,1
196,35,2,1,9,2,6,0,0,0,0,0,60,0
197,58,5,1,9,1,5,2,0,1,15024,0,35,1
198,17,2,2,7,0,5,3,0,1,0,0,12,0
199,44,4,1,9,1,7,1,1,0,0,0,40,0
200,37,2,1,9,1,6,1,0,0,0,0,40,1
201,35,2,5,10,0,5,0,3,1,0,0,40,0
202,60,2,1,9,1,6,1,2,0,0,0,40,0
203,54,5,8,4,1,9,1,0,0,0,0,40,1
204,37,2,0,13,0,1,0,1,0,0,0,60,1
205,50,2,6,12,2,5,0,0,1,0,0,40,0
206,38,2,0,13,1,5,1,0,0,0,0,50,0
207,45,2,0,13,1,3,1,0,0,0,0,55,0
208,25,2,12,6,0,6,0,0,0,0,0,40,0
209,31,2,5,10,1,2,1,0,0,0,0,40,0
210,90,2,1,9,0,4,0,1,0,0,2206,40,0
211,54,2,1,9,1,0,1,1,0,0,0,20,0
212,53,4,13,1,0,9,0,0,1,0,0,35,0
213,18,2,1,9,0,5,3,0,1,0,0,40,0
214,66,1,1,9,1,8,1,0,0,1409,0,50,0
215,75,2,7,11,6,0,0,0,1,0,0,20,0
216,65,2,1,9,2,0,0,0,1,0,0,40,0
217,35,2,2,7,4,7,0,1,0,3674,0,40,0
218,41,2,1,9,2,5,4,1,1,0,0,38,0
219,25,2,5,10,0,0,0,0,0,0,0,42,0
220,33,2,5,10,2,6,5,4,1,0,0,40,0
221,28,2,10,15,0,3,0,0,0,0,0,55,1
222,59,0,1,9,1,4,1,0,0,0,0,40,0
223,40,0,5,10,0,0,0,0,1,0,0,38,0
224,41,2,0,13,1,1,1,0,0,0,0,50,1
225,38,4,3,14,1,1,1,0,0,0,0,70,1
226,23,2,1,9,0,7,3,0,0,0,0,40,0
227,40,2,0,13,1,3,1,0,0,0,0,40,1
228,41,1,1,9,1,4,2,0,1,0,0,20,0
229,24,0,6,12,1,11,1,0,0,0,0,50,0
230,38,2,5,10,2,6,0,0,0,0,1741,40,0
231,56,2,1,9,1,0,1,0,0,0,0,35,0
232,58,2,1,9,1,0,1,0,0,0,0,45,1
233,32,2,1,9,0,4,0,0,1,0,0,34,0
234,40,2,6,12,1,10,1,0,0,0,1977,60,1
235,45,2,1,9,1,0,1,0,0,0,0,40,0
236,41,2,10,15,1,3,2,0,1,0,0,40,1
237,42,2,0,13,1,0,2,1,1,0,0,40,0
238,59,4,12,6,6,4,4,1,1,0,0,30,0
239,19,4,5,10,0,0,3,0,0,0,0,40,0
240,58,2,5,10,0,7,0,0,0,0,0,20,0
241,42,1,1,9,1,8,1,2,0,0,0,40,1
242,20,2,1,9,0,4,3,0,1,0,0,40,0
243,32,2,1,9,4,4,0,0,1,0,0,30,0
244,45,2,7,11,6,1,0,0,1,0,0,45,0
245,50,2,8,4,2,6,0,0,0,0,0,40,0
246,36,2,0,13,2,3,3,0,1,0,0,40,0
247,45,2,1,9,1,5,1,0,0,0,0,60,0
248,17,2,2,7,0,4,3,0,0,0,0,12,0
249,59,2,5,10,1,5,1,0,0,4064,0,40,0
250,26,2,2,7,1,6,1,0,0,0,0,40,0
251,37,5,5,10,1,1,1,2,0,0,0,75,1
252,64,2,1,9,1,1,1,0,0,0,0,40,1
253,33,2,0,13,0,3,0,0,1,0,0,45,0
254,33,2,1,9,1,6,2,0,1,0,0,40,1
255,61,2,1,9,1,1,1,0,0,0,0,40,1
256,17,2,4,5,0,4,3,0,0,1055,0,24,0
257,50,1,3,14,1,8,1,0,0,2407,0,98,0
258,27,4,3,14,0,3,3,0,0,0,0,35,0
259,30,2,1,9,2,3,3,0,1,0,0,40,0
260,43,2,1,9,1,2,1,1,0,0,0,40,0
261,44,2,5,10,1,6,1,0,0,7298,0,40,1
262,35,2,5,10,0,1,0,0,1,0,0,40,0
263,25,2,5,10,0,10,3,0,1,0,0,40,0
264,24,2,5,10,1,9,2,0,1,7298,0,48,1
265,22,2,0,13,0,3,0,0,1,0,0,15,0
266,42,4,5,10,1,6,1,0,0,5178,0,40,1
267,34,2,6,12,2,5,4,1,1,0,0,45,0
268,60,2,0,13,2,3,0,0,1,0,0,42,0
269,21,2,1,9,0,2,3,0,0,0,0,40,0
270,57,3,3,14,1,5,1,0,0,15024,0,40,1
271,41,2,10,15,1,3,1,0,0,0,0,60,1
272,50,2,5,10,2,4,0,0,0,0,0,45,0
273,25,2,0,13,0,1,0,0,1,0,0,40,0
274,50,2,8,4,1,6,1,0,0,0,0,40,0
275,36,2,0,13,1,3,1,0,0,0,0,45,0
276,31,2,1,9,2,3,0,0,1,0,0,40,0
277,29,4,0,13,0,11,0,0,0,0,0,56,0
278,21,2,5,10,0,5,3,0,0,0,0,45,0
279,27,2,0,13,0,10,4,1,1,0,0,40,0
280,65,2,1,9,1,7,1,0,0,0,0,16,0
281,37,5,0,13,2,5,0,0,1,0,0,60,0
282,24,2,1,9,0,6,3,0,0,0,0,40,0
283,38,2,1,9,2,5,0,0,0,0,0,80,0
284,48,2,0,13,1,0,1,0,0,7688,0,40,1
285,21,2,5,10,0,4,0,2,1,0,0,25,0
286,31,2,1,9,1,7,1,0,0,0,0,45,1
287,55,2,1,9,1,5,1,0,0,4386,0,40,1
288,24,2,5,10,1,0,2,2,1,0,0,40,0
289,43,2,1,9,2,0,0,0,1,0,0,40,0
290,26,2,6,12,0,10,0,0,0,0,0,45,0
291,46,2,6,12,0,3,0,0,1,0,0,33,0
292,35,2,6,12,1,0,1,0,0,0,0,40,1
293,41,5,5,10,1,8,1,0,0,0,0,54,1
294,26,2,0,13,0,5,0,0,0,0,0,40,0
295,34,2,3,14,1,1,1,2,0,7298,0,35,1
296,36,1,0,13,2,3,0,1,1,0,0,40,1
297,22,2,5,10,0,5,3,0,0,0,0,15,0
298,24,2,5,10,0,9,0,0,0,0,0,40,0
299,77,1,5,10,1,5,1,0,0,0,0,40,0
300,22,2,11,3,1,9,5,0,1,0,0,40,0
301,29,2,5,10,0,10,0,0,1,0,0,40,0
302,62,2,1,9,6,4,0,0,1,0,0,24,0
303,39,1,1,9,1,1,1,0,0,0,0,40,0
304,43,2,5,10,1,6,1,0,0,0,1485,50,0
305,35,2,1,9,2,7,0,0,0,0,0,45,0
306,29,2,2,7,0,1,0,0,1,0,0,40,0
307,76,1,3,14,1,6,1,0,0,0,0,10,0
308,63,1,1,9,1,8,1,0,0,0,0,45,0
309,43,2,5,10,1,3,2,0,1,0,1887,50,1
310,58,1,1,9,1,2,1,0,0,0,0,40,0
311,66,2,1,9,0,7,0,0,0,2050,0,55,0
312,41,2,5,10,0,6,0,1,0,0,0,45,0
313,26,2,0,13,0,0,0,0,0,0,0,40,0
314,47,2,7,11,0,4,0,0,0,0,0,40,0
315,55,4,12,6,1,0,1,0,0,0,0,40,0
316,53,2,1,9,1,7,1,0,0,0,0,40,0
317,17,2,11,3,0,4,5,0,0,0,0,48,0
318,30,2,1,9,0,6,5,0,0,0,0,40,0
319,49,2,3,14,0,3,0,0,0,0,0,60,0
320,19,2,1,9,0,5,4,1,0,0,0,30,0
321,45,2,1,9,1,4,1,1,0,0,0,40,0
322,26,2,6,12,0,5,0,0,0,0,0,40,0
323,38,2,7,11,1,6,1,0,0,7298,0,40,1
324,36,0,1,9,1,11,1,0,0,7298,0,40,1
325,33,2,1,9,0,8,0,0,0,0,0,20,0
326,22,0,5,10,0,11,3,1,1,0,0,40,0
327,43,1,0,13,0,5,0,0,0,0,0,42,0
328,56,2,6,12,3,4,0,0,0,0,0,25,0
329,31,2,0,13,0,3,3,0,0,0,0,25,0
330,33,2,0,13,1,1,1,0,0,0,0,40,1
331,26,2,1,9,1,4,1,0,0,0,0,40,0
332,33,2,0,13,1,1,1,0,0,0,0,40,1
333,46,4,2,7,1,7,1,0,0,0,0,30,0
334,38,3,1,9,1,0,1,0,0,0,0,40,1
335,65,2,2,7,6,4,4,4,0,0,0,40,0
336,40,2,7,11,1,10,1,0,0,0,0,40,1
337,42,2,1,9,1,0,2,0,1,0,0,35,0
338,26,1,4,5,1,6,1,0,0,0,0,40,0
339,36,2,12,6,1,4,2,0,1,0,0,24,0
340,62,2,3,14,1,3,1,0,0,0,0,40,1
341,43,2,0,13,1,7,1,0,0,0,0,45,0
342,43,2,0,13,2,1,0,0,0,0,1564,45,1
343,22,2,1,9,3,5,0,0,0,0,0,55,0
344,28,2,1,9,1,6,1,0,0,0,0,40,0
345,56,1,5,10,1,5,1,0,0,0,0,45,0
346,22,2,6,12,0,5,0,0,1,0,0,15,0
347,57,2,0,13,2,1,0,0,1,0,0,45,1
348,39,2,1,9,2,5,4,0,1,0,0,40,0
349,26,3,5,10,0,0,4,0,1,0,0,15,0
350,17,2,2,7,0,4,3,0,0,0,0,10,0
351,40,0,7,11,1,9,1,0,0,0,0,38,1
352,45,2,1,9,1,9,1,1,0,0,0,40,0
353,44,2,1,9,0,6,0,1,0,0,0,40,0
354,20,4,5,10,0,0,3,0,1,0,0,10,0
355,33,2,1,9,1,6,2,0,1,0,0,40,0
356,23,2,5,10,0,5,0,0,0,0,0,40,0
357,46,1,3,14,2,1,0,0,0,0,0,30,0
358,38,2,1,9,1,5,1,0,0,0,0,50,0
359,54,2,1,9,2,7,0,0,0,0,0,40,0
360,46,2,11,3,2,6,0,0,1,0,2339,45,0
361,25,2,5,10,1,6,1,0,0,0,0,40,0
362,46,2,5,10,2,5,0,0,1,0,0,40,0
363,36,4,5,10,1,7,2,0,1,0,0,40,0
364,23,2,1,9,0,4,0,0,1,0,0,25,0
365,29,2,1,9,4,9,0,0,0,0,0,40,0
366,44,2,5,10,1,0,2,0,1,0,2415,6,1
367,19,2,5,10,0,0,3,0,1,0,0,16,0
368,19,2,1,9,0,4,5,0,1,0,0,40,0
369,35,2,1,9,1,4,2,0,1,0,0,40,1
370,27,2,0,13,0,6,0,0,0,0,0,50,0
371,46,1,6,12,4,6,0,0,0,0,0,40,0
372,34,0,0,13,1,1,1,0,0,7688,0,45,1
373,34,2,1,9,0,4,0,0,1,0,0,35,0
374,44,2,5,10,1,10,1,0,0,0,0,40,0
375,45,2,5,10,2,2,4,0,1,0,0,40,0
376,25,2,0,13,1,1,1,0,0,0,0,55,1
377,52,5,0,13,1,1,1,0,0,0,0,50,1
378,20,2,5,10,0,2,3,0,0,0,0,40,0
379,28,2,5,10,0,4,0,0,1,0,0,40,0
380,50,0,0,13,1,11,1,0,0,0,0,40,1
381,34,2,7,11,2,10,0,0,1,0,0,64,0
382,28,2,8,4,1,2,1,4,0,0,2179,40,0
383,41,2,3,14,1,1,1,0,0,0,1977,65,1
384,28,2,1,9,1,0,1,0,0,0,0,40,0
385,46,1,1,9,1,6,1,0,0,0,0,25,0
386,32,2,5,10,1,1,1,0,0,0,0,50,0
387,41,4,5,10,2,4,0,1,1,0,0,24,0
388,24,2,1,9,0,2,4,1,1,0,0,40,0
389,33,2,5,10,2,1,4,0,1,0,0,40,0
390,46,2,9,16,1,1,1,0,0,15024,0,60,1
391,31,0,5,10,1,9,1,0,0,0,0,40,0
392,35,2,14,8,2,6,0,0,0,0,0,50,1
393,52,2,15,2,1,9,1,0,0,0,0,40,0
394,30,2,2,7,0,4,3,0,1,0,0,19,0
395,34,4,2,7,4,9,0,1,0,0,0,40,0
396,34,0,1,9,2,7,4,0,1,0,0,40,0
397,20,2,5,10,1,5,1,0,0,0,0,30,0
398,17,2,2,7,0,2,3,0,0,2176,0,18,0
399,32,0,0,13,1,1,2,0,1,0,0,40,1
400,29,2,1,9,2,8,0,0,0,0,0,40,0
401,33,2,12,6,0,6,4,0,1,0,0,35,0
402,25,2,1,9,1,7,1,0,0,0,0,60,0
403,36,3,3,14,0,3,0,0,0,0,1408,40,0
404,23,2,1,9,0,2,0,0,0,0,0,72,0
405,63,5,1,9,1,1,1,0,0,0,0,40,1
406,47,4,3,14,1,3,1,0,0,0,0,40,0
407,40,1,0,13,3,3,0,0,1,2174,0,40,0
408,30,2,6,12,1,4,2,0,1,0,0,25,1
409,27,2,5,10,0,6,3,2,0,0,1980,40,0
410,33,2,3,14,1,3,1,0,0,0,0,50,1
411,34,4,1,9,0,8,0,1,0,594,0,60,0
412,34,4,5,10,0,11,0,0,1,0,0,40,0
413,23,2,5,10,1,0,1,0,0,0,0,40,0
414,42,4,5,10,1,0,2,0,1,0,0,40,0
415,29,2,0,13,0,3,0,0,0,0,0,40,0
416,45,2,1,9,2,0,0,0,1,0,0,28,0
417,24,3,1,9,0,12,3,0,0,0,0,40,0
418,44,2,5,10,1,3,1,0,0,0,0,40,1
419,27,2,4,5,0,6,5,0,0,0,0,40,0
420,20,2,5,10,0,5,0,0,0,0,0,35,0
421,44,2,1,9,6,1,4,1,1,0,0,40,0
422,51,2,1,9,1,6,1,3,0,0,0,40,0
423,20,2,1,9,1,9,1,0,0,0,0,40,0
424,19,2,1,9,0,9,3,1,1,0,0,40,0
425,45,5,5,10,1,6,1,0,0,0,0,55,1
426,60,2,1,9,1,6,1,0,0,0,0,40,1
427,42,2,6,12,1,1,1,1,0,0,0,40,1
428,44,1,1,9,1,5,2,0,1,0,0,40,1
429,40,2,7,11,1,9,1,2,0,0,0,40,1
430,30,2,1,9,1,1,2,0,1,0,0,40,0
431,38,2,5,10,1,7,1,1,0,0,0,50,0
432,23,2,1,9,1,7,1,0,0,0,0,60,0
433,44,2,6,12,0,8,3,0,0,0,0,40,0
434,54,4,1,9,1,7,1,1,0,0,0,40,0
435,32,2,0,13,1,3,1,0,0,0,0,50,0
436,50,2,15,2,3,6,4,0,0,0,0,40,0
437,24,2,0,13,0,10,0,0,1,0,0,20,0
438,37,2,1,9,1,0,2,0,1,0,0,60,0
439,52,2,1,9,2,7,4,0,0,0,0,40,0
440,38,2,5,10,1,7,1,0,0,0,0,40,0
441,49,2,3,14,1,1,1,0,0,0,1977,45,1
442,30,2,0,13,1,10,2,0,1,0,0,16,1
443,60,2,5,10,0,3,4,0,0,0,0,40,1
444,35,2,1,9,0,6,0,0,0,0,0,40,0
445,30,2,1,9,0,7,0,0,0,0,0,60,0
446,67,2,7,11,2,4,0,0,1,0,0,24,0
447,46,2,0,13,0,6,0,0,1,0,0,40,0
448,17,2,4,5,0,4,0,0,0,0,0,6,0
449,22,2,5,10,0,2,3,0,0,0,0,30,0
450,27,2,12,6,0,4,0,0,0,0,0,40,0
451,23,2,1,9,0,4,4,0,1,0,0,35,0
452,33,2,6,12,1,6,1,0,0,0,0,45,0
453,43,1,5,10,1,6,1,0,0,0,0,20,0
454,28,0,0,13,0,3,0,0,0,0,0,20,0
455,41,2,1,9,3,6,4,0,1,0,0,40,0
456,25,2,5,10,3,0,3,1,1,0,0,20,0
457,59,4,1,9,1,7,1,0,0,0,0,45,0
458,45,4,0,13,2,3,4,0,1,0,0,40,0
459,38,2,0,13,1,5,1,0,0,15024,0,60,1
460,40,2,1,9,0,4,0,0,1,0,0,35,0
461,46,3,1,9,2,0,0,0,0,0,0,40,0
462,35,2,6,12,0,1,0,0,1,0,0,60,0
463,34,2,1,9,2,3,4,0,1,0,0,25,0
464,33,2,0,13,0,6,3,0,0,0,0,20,0
465,41,2,1,9,2,0,4,0,1,0,0,36,0
466,20,2,5,10,0,9,3,0,0,0,0,40,0
467,23,2,11,3,0,4,3,0,0,0,0,40,0
468,26,2,5,10,0,3,0,0,1,0,0,35,0
469,23,4,1,9,0,8,0,0,0,0,0,40,0
470,62,4,1,9,1,7,1,0,0,0,0,40,0
471,52,2,5,10,1,0,1,0,0,0,0,40,0
472,58,2,5,10,2,4,4,0,1,0,0,42,0
473,25,2,0,13,0,5,0,0,1,0,0,40,0
474,24,2,0,13,0,1,0,1,0,0,0,40,0
475,19,2,5,10,0,11,3,0,0,0,0,8,0
476,43,2,5,10,1,1,1,0,0,0,0,40,0
477,47,4,1,9,4,0,4,1,1,0,0,40,0
478,39,2,1,9,2,4,4,0,1,0,0,40,0
479,49,2,7,11,3,2,4,0,0,0,1380,42,0
480,32,2,7,11,0,6,0,0,0,0,0,45,0
481,34,2,5,10,1,3,1,0,0,0,0,50,1
482,28,2,1,9,2,6,0,0,0,0,0,45,0
483,25,2,5,10,0,0,0,3,1,0,0,20,0
484,34,2,0,13,1,3,1,0,0,0,0,50,1
485,38,5,0,13,1,1,1,0,0,15024,0,80,1
486,50,2,1,9,1,1,1,0,0,7688,0,50,1
487,24,4,5,10,2,2,0,1,0,0,0,50,0
488,37,4,5,10,1,10,1,0,0,0,0,45,1
489,44,2,5,10,2,9,4,0,0,0,0,58,1
490,28,2,5,10,1,5,2,0,1,0,0,40,0
491,42,2,0,13,1,1,1,0,0,0,0,40,1
492,74,2,5,10,2,0,0,0,1,0,0,9,0
